Ref_Area,ln_Total_GHG
AGO,4.251466209563085
ARE,5.239968402627093
ARG,5.8219442993903225
ARM,2.1776227448343866
AUS,6.3769636621928845
AUT,4.472177157665519
AZE,3.8432565756269983
BEL,4.912559396383908
BEN,2.329434758150132
BFA,3.1340604252059214
BGD,4.951277192715399
BGR,4.139093334220654
BHR,3.9555543067999728
BIH,3.26585294792766
BLR,4.517794618473626
BOL,3.6595491097980073
BRA,6.974487745839866
BRN,2.289135978154277
BWA,2.397822442914156
CAN,6.630244166481896
CHE,3.9654257431520414
CHL,4.611626950699964
CHN,9.156715637557586
CIV,3.018600105657317
CMR,3.4746524798301537
COD,3.437315993985528
COG,2.9730489422497324
COL,5.132049611455829
CRI,2.5976684510304504
CYP,2.1881419417674506
CZE,4.979228549835947
DEU,6.856346044361031
DNK,4.103278170424581
DOM,3.488501459618657
DZA,5.203601247836713
ECU,4.085839517423991
EGY,5.659704151793879
ESP,5.950479820329873
EST,3.2191984456298823
FIN,4.312204768649766
FRA,6.22255741398788
GAB,3.1200505662119173
GBR,6.427876372172238
GEO,2.568143487821014
GHA,3.184627855486839
GNQ,2.668505972514898
GRC,4.696781659745441
GTM,3.3529949254152114
HND,2.8372868710648067
HRV,3.310792895371768
HTI,2.444771976643673
HUN,4.287350537265653
IDN,6.555368267284924
IND,7.850895509644533
IRL,4.276966425063181
IRN,6.557539860758949
IRQ,5.358875709884868
ISL,1.5148882411666658
ISR,4.3604375752377775
ITA,6.214757265367006
JAM,2.3413239549323883
JOR,3.2820030550574857
JPN,7.208023204898917
KAZ,5.56340530081056
KEN,4.184678680708295
KGZ,2.7002204400097507
KHM,3.3617688520853535
KOR,6.459293691902539
KWT,4.818629325923253
LBN,3.199155483857907
LBY,4.493690415438777
LKA,3.3083305197426416
LTU,3.1662118692593277
LUX,2.429857180288228
LVA,2.5163001326830905
MAR,4.355943230456629
MDA,2.406665490088344
MDG,3.316092758284334
MEX,6.468229545739902
MKD,2.4467902792866574
MLT,0.9817099107433647
MMR,4.686536185802133
MNG,3.681588079353877
MOZ,2.843059149748863
MUS,1.5102501037401148
MYS,5.454416251050779
NAM,2.304590104006334
NER,3.1469822882226057
NGA,5.817830076844503
NIC,2.676302177131298
NLD,5.355860145847892
NOR,4.112465517757224
NPL,3.5369894859941935
NZL,4.453928129161821
OMN,4.363961774410354
PAK,5.888294812743358
PAN,2.609998516168536
PER,4.25124056672643
PHL,5.073066803208605
POL,6.007440141091489
PRT,4.302173473741231
ROU,4.835264531294329
RUS,7.69692395410019
RWA,1.7056355360608972
SAU,6.3075089865461145
SEN,2.923759621720158
SGP,4.045841158721853
SLV,2.4616659270436965
SUR,1.0576223730519856
SVK,3.874094905500291
SVN,3.0683442647270653
SWE,4.195306666678361
SYR,4.222562820812341
TGO,1.8486956497402627
THA,5.86766200253601
TJK,2.5612165281991266
TKM,4.464372403067725
TTO,3.6682115730504146
TUN,3.6233844377093702
TUR,5.952140207708376
TZA,3.983751226814822
UGA,3.4445551740030598
UKR,6.019641811901176
URY,3.641677930654717
USA,8.814316513321353
UZB,5.207903992536206
VNM,5.569950684645272
ZAF,6.318543961435014
ZMB,2.971884388254846
ZWE,3.296800675021921
