Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid,Country,Event_Count,Total_Deaths,Total_Affected,Econ_Loss_Adj_M,Econ_Loss_Raw_M,Insured_Loss_M,Flood_Count,Storm_Count,Earthquake_Count,Other_Count
PHL,2000,132.7752,487.4027795476925,489.1027419304421,33.9,57.10973724884081,42.94828880547582,83669788376.9213,1050.7927310795235,4740.438916945692,79625397.0,39.1384171397742,34.97528476812157,13.941095211674694,24.51373377603381,37.67649327564812,0,Philippines,12.0,747.0,6424338.0,163.507,89.758,1.5,3.0,6.0,0.0,3.0
PHL,2001,131.6205,454.32383132008346,507.9268329836919,32.9,62.70775770456961,37.34865037194474,78921234457.54874,969.5306117444528,4778.400843747396,81401488.0,39.5375185608843,34.897615258049065,13.302809302832047,24.356259851762417,37.50880370258577,0,Philippines,11.0,630.0,3624958.0,194.24,109.641,0.0,3.0,6.0,0.0,2.0
PHL,2002,134.5659,451.2844686814615,511.5874367839445,31.8,64.35719149111767,35.6985165163926,84307345887.543,1014.9087932010624,4856.499484295671,83068889.0,39.9553922931877,34.78343526285005,13.448413414570409,24.19878592749103,37.34446792098468,0,Philippines,12.0,320.0,1211212.0,30.595,17.543,0.0,4.0,6.0,1.0,1.0
PHL,2003,137.6599,442.568789118581,544.4234743647414,30.9,66.58103513411409,33.4695882130714,87039092974.22725,1027.2301192842956,5003.383177187158,84731835.0,40.3928506135438,34.54056402986292,13.150947662883636,24.041312003219637,37.6966160244156,0,Philippines,10.0,350.0,687749.0,72.134,42.302,0.0,1.0,8.0,0.0,1.0
PHL,2004,140.9301,430.07575264053025,564.0520836834713,30.2,66.2687420698036,33.77670753064799,95001999685.33144,1099.6301302375837,5229.450807001648,86394504.0,40.8507057988121,33.61869620728831,13.984403691720148,23.88383807894825,38.4679880605024,0,Philippines,12.0,1918.0,3262978.0,230.625,138.867,0.0,3.0,8.0,0.0,1.0
PHL,2005,145.0008,434.47117461439785,565.2497441316383,31.3,67.63484010111902,32.41620704285108,107419977318.16573,1220.4601855986728,5386.816537128913,88015962.0,41.3297701258519,33.81367630532408,13.517547003593007,23.726364154676855,38.082302042459,0,Philippines,4.0,39.0,213057.0,4.04,2.515,0.0,2.0,2.0,0.0,0.0
PHL,2006,137.5884,423.3570797189413,557.4747545458732,33.3,63.971611221668454,36.08176599041983,127652926368.06915,1426.1464917954625,5578.572251121389,89508986.0,41.8308558715226,33.46258533038036,13.361249106967538,23.568890230405472,38.83690512123956,0,Philippines,20.0,2984.0,8612817.0,540.39,347.281,0.0,6.0,10.0,0.0,4.0
PHL,2007,146.1958,425.6258060413438,571.000767893041,32.4,68.40012749324788,31.659330336173923,155980408673.40317,1712.6554328279278,5840.068101699653,91075184.0,42.3470499959497,33.00086093244904,13.606507617711006,23.41141630613409,39.541201328101415,0,Philippines,15.0,118.0,2010577.0,25.047,16.555,0.0,5.0,8.0,0.0,2.0
PHL,2008,148.1113,439.08291757886207,573.2742051041598,33.9,66.08408280034857,33.98091151228174,181624626327.36093,1959.292335349778,5987.037578618355,92699095.0,43.1547492407016,32.765288410954014,14.51607475731336,23.253942381862696,40.279035449575744,0,Philippines,20.0,959.0,8459896.0,701.095,481.202,45.0,8.0,11.0,0.0,1.0
PHL,2009,150.4794,420.7180472555262,576.2296145808225,34.1,67.40731171683245,32.67587075521969,175974755881.37238,1864.450434064713,5965.307309022211,94384250.0,44.3356772609527,31.52254268126281,14.540213315315246,23.09646845759131,40.58087668108797,0,Philippines,25.0,1307.0,13352484.0,1406.763,962.107,0.0,8.0,14.0,1.0,2.0
PHL,2010,156.6438,431.461435820742,622.2211842007948,32.7,73.69135838918248,26.377972631858643,208368893151.14383,2162.91375885614,6273.039277315145,96337125.0,45.5208176726647,32.33955604566039,13.748865052421728,22.938994533319917,40.58087668108797,0,Philippines,14.0,376.0,5457568.0,482.048,335.087,0.0,9.0,3.0,0.0,2.0
PHL,2011,157.7593,428.3307590549838,625.9324940706034,33.8,71.3123048456112,28.763230553507668,234216730291.32016,2383.9189252208703,6388.31296959977,98248614.0,46.6833632464759,31.338682782846902,14.095735151082303,23.05599490223698,41.11748331488748,0,Philippines,33.0,1933.0,11722352.0,1018.053,730.025,0.0,15.0,12.0,1.0,5.0
PHL,2012,163.0728,437.467121529591,644.488844738822,34.1,71.53083473896409,28.54750281122295,261920540962.62988,2614.6164440130824,6697.5562096276835,100175512.0,47.9182784810426,31.399493363244417,13.095807010678156,23.17299527115404,41.68762786329946,0,Philippines,21.0,2385.0,12528288.0,1373.943,1005.611,3.0,8.0,9.0,3.0,1.0
PHL,2013,173.2631,443.2706552957279,661.5245280747538,33.1,73.55645311295937,26.540555621985728,283902828588.7177,2781.2795767739717,7016.538464704358,102076336.0,49.1313688766206,30.77544663143309,12.473425104412527,23.2899956400711,41.81842573028809,0,Philippines,14.0,7750.0,25667133.0,16727.965,12422.81,820.0,5.0,8.0,1.0,0.0
