Country,Year,Econ_Loss_Adj_M,Insured_Est_M,Uninsured_M,Insured_Ratio
Thailand,2000,198.662,15.89296,182.76904000000002,0.08
Thailand,2001,50.49,4.0392,46.4508,0.08
Thailand,2002,69.979,5.59832,64.38068,0.08
Thailand,2003,45.017,3.60136,41.41564,0.08
Thailand,2004,1951.387,250.0,1701.387,0.08
Thailand,2005,1057.313,84.58504,972.72796,0.08
Thailand,2006,54.369,4.34952,50.01948,0.08
Thailand,2007,2.269,0.18152000000000001,2.0874800000000002,0.08
Thailand,2008,40.567,3.2453600000000002,37.32164,0.08
Thailand,2009,0.0,0.0,0.0,0.08
Thailand,2010,477.606,38.20848,439.39752,0.08
Thailand,2011,56224.069,15000.0,41224.069,0.12
Thailand,2012,1.64,0.19679999999999997,1.4432,0.12
Thailand,2013,779.654,93.55848,686.09552,0.12
Thailand,2014,95.405,11.448599999999999,83.9564,0.12
Thailand,2015,4368.249,524.1898799999999,3844.05912,0.12
Thailand,2016,189.515,22.741799999999998,166.77319999999997,0.12
Thailand,2017,1674.41,200.9292,1473.4808,0.12
Thailand,2018,0.0,0.0,0.0,0.12
Thailand,2019,0.0,0.0,0.0,0.12
Thailand,2020,72.722,8.72664,63.99535999999999,0.12
Thailand,2021,684.173,82.10076,602.07224,0.12
Thailand,2022,13.934,1.6720799999999998,12.26192,0.12
Thailand,2023,0.0,0.0,0.0,0.12
Thailand,2024,1114.0,133.68,980.3199999999999,0.12
Philippines,2000,163.507,4.90521,158.60179,0.03
Philippines,2001,194.24,5.8272,188.4128,0.03
Philippines,2002,30.595,0.9178499999999999,29.677149999999997,0.03
Philippines,2003,72.134,2.16402,69.96998,0.03
Philippines,2004,230.625,6.91875,223.70625,0.03
Philippines,2005,4.04,0.1212,3.9188,0.03
Philippines,2006,540.39,16.2117,524.1783,0.03
Philippines,2007,25.047,0.75141,24.29559,0.03
Philippines,2008,701.095,21.03285,680.06215,0.03
Philippines,2009,1406.763,42.20289,1364.56011,0.03
Philippines,2010,482.048,14.46144,467.58656,0.03
Philippines,2011,1018.053,30.54159,987.51141,0.03
Philippines,2012,1373.943,41.218289999999996,1332.72471,0.03
Philippines,2013,16727.965,700.0,16027.965,0.03
Philippines,2014,1409.451,42.28353,1367.16747,0.03
Philippines,2015,2601.93,78.05789999999999,2523.8721,0.03
Philippines,2016,235.356,7.06068,228.29532,0.03
Philippines,2017,206.311,6.18933,200.12167,0.03
Philippines,2018,711.698,21.350939999999998,690.3470599999999,0.03
Philippines,2019,759.717,22.79151,736.92549,0.03
Philippines,2020,1349.571,40.48712999999999,1309.08387,0.03
Philippines,2021,1215.807,36.47421,1179.33279,0.03
Philippines,2022,348.865,10.46595,338.39905,0.03
Philippines,2023,420.194,12.60582,407.58818,0.03
Philippines,2024,913.11,27.3933,885.7167000000001,0.03
