Country,Indicator,Role,Outcome,Rho,P_Value
Thailand,Urban Pop (%),Exposure,Deaths,-0.42238892875978695,0.03543016170131422
Thailand,Forest Area (%),Exposure,Event Count,-0.3985850909196529,0.04843260449462932
Thailand,GDP Per Capita (PPP),Exposure,Deaths,-0.4220042393893318,0.03561549886024999
Thailand,Population,Exposure,Deaths,-0.44623966972800805,0.025353864704639434
Thailand,Renewable Energy (%),Emissions,Event Count,-0.5247696413988192,0.007075798727761978
Philippines,Urban Pop (%),Exposure,Economic Loss ($M),0.5053846153846154,0.009965259123424915
Philippines,Urban Pop (%),Exposure,Total Affected,0.5307692307692308,0.006338656058144327
Philippines,Forest Area (%),Exposure,Event Count,-0.46212325536776183,0.020032646670258298
Philippines,GDP Per Capita (PPP),Exposure,Economic Loss ($M),0.4769230769230769,0.015929112849083892
Philippines,GDP Per Capita (PPP),Exposure,Total Affected,0.5192307692307693,0.00781873170445879
Philippines,Population,Exposure,Economic Loss ($M),0.5053846153846154,0.009965259123424915
Philippines,Population,Exposure,Total Affected,0.5307692307692308,0.006338656058144327
Philippines,Energy Use Per Capita,Emissions,Deaths,-0.43469898861435263,0.029893110810889398
Philippines,Renewable Energy (%),Emissions,Deaths,0.6062012054672793,0.0013179433614967093
Philippines,Agriculture VA (% GDP),Vulnerability,Deaths,0.4176923076923077,0.03774613883179591
