Ref_Area,Country,Year,Scenario,Population,GDP_Per_Capita_PPP,Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%,Coal_Elec_%,Total_GHG,GHG_Pred,GHG_Display
THA,Thailand,2024,Actual,71668011.0,21740.540321926088,1851.272314241671,18.999999999999996,61.8689338391321,38.687388674665776,8.711126618988196,14.6169457645787,422.3873,422.38730000000015,422.3873
THA,Thailand,2025,BAU,71843237.7309237,21616.52057811999,1817.5280827744937,17.8477911646587,64.18616927972334,38.58494519486075,8.764627375076572,14.6169457645787,,419.82351121326496,419.82351121326496
THA,Thailand,2026,BAU,71913427.15261044,21755.480353273015,1795.5039491398566,17.11767068273093,65.7724406597813,38.520422782165866,8.833427759211105,14.6169457645787,,418.69728558279814,418.69728558279814
THA,Thailand,2027,BAU,71983616.57429717,21894.44012842604,1773.4798155052122,16.38755020080339,67.3587120398397,38.45590036947098,8.902228143345639,14.6169457645787,,417.5413604217599,417.5413604217599
THA,Thailand,2028,BAU,72053805.99598391,22033.39990357912,1751.455681870575,15.657429718875619,68.94498341989765,38.3913779567761,8.971028527480172,14.6169457645787,,416.35533607837124,416.35533607837124
THA,Thailand,2029,BAU,72123995.41767068,22172.359678732144,1729.4315482359307,14.927309236947849,70.5312547999556,38.32685554408124,9.039828911614705,14.6169457645787,,415.1387989393093,415.1387989393093
THA,Thailand,2030,BAU,72194184.83935742,22311.319453885168,1707.4074146012936,14.197188755020079,72.11752618001401,38.262333131386356,9.108629295749239,14.6169457645787,,413.8913208674188,413.8913208674188
PHL,Philippines,2024,Actual,115843670.0,10375.940417993756,580.1360554135003,27.99999999999999,55.4520983215477,24.46007311265386,9.08252678487007,62.490362048075376,266.5973,266.5973000000001,266.5973
PHL,Philippines,2025,BAU,117097666.74297166,10384.016604855133,580.70834782169,28.079919678714845,55.92473610979789,24.630182399113835,9.081641282978666,62.490362048075376,,267.91201109814057,267.91201109814057
PHL,Philippines,2026,BAU,118190153.05622458,10588.453846193966,585.229700699756,28.160642570281112,56.319406050050134,24.737324722305374,9.000225286803953,62.490362048075376,,271.01366092497017,271.01366092497017
PHL,Philippines,2027,BAU,119282639.36947751,10792.891087532858,589.751053577822,28.24136546184738,56.71407599030226,24.84446704549694,8.918809290629213,62.490362048075376,,274.10428490742424,274.10428490742424
PHL,Philippines,2028,BAU,120375125.68273044,10997.32832887175,594.2724064558879,28.322088353413648,57.108745930554505,24.95160936868848,8.8373932944545,62.490362048075376,,277.18398985920976,277.18398985920976
PHL,Philippines,2029,BAU,121467611.99598384,11201.765570210584,598.7937593339539,28.402811244979887,57.50341587080675,25.05875169188002,8.755977298279788,62.490362048075376,,280.2528726781124,280.2528726781124
PHL,Philippines,2030,BAU,122560098.30923676,11406.202811549476,603.3151122120198,28.483534136546155,57.89808581105899,25.165894015071586,8.674561302105047,62.490362048075376,,283.31102120274807,283.31102120274807
