Ref_Area,Country,Year,Scenario,Population,GDP_Per_Capita_PPP,Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%,Coal_Elec_%,Total_GHG,GHG_Pred,GHG_Display
THA,Thailand,2024,Actual,71668011.0,21740.540321926088,1851.272314241671,18.999999999999996,61.8689338391321,38.687388674665776,8.711126618988196,14.6169457645787,422.3873,422.38730000000015,422.3873
THA,Thailand,2025,Mitigation,71843237.7309237,21616.52057811999,1824.5239762906285,20.666666666666664,64.18616927972334,39.35405534133244,8.764627375076572,14.1169457645787,,407.4253685079933,407.4253685079933
THA,Thailand,2026,Mitigation,71913427.15261044,21755.480353273015,1797.775638339586,22.33333333333333,65.7724406597813,40.02072200799911,8.833427759211105,13.6169457645787,,394.9477960639856,394.9477960639856
THA,Thailand,2027,Mitigation,71983616.57429717,21894.44012842604,1771.0273003885436,23.999999999999996,67.3587120398397,40.687388674665776,8.902228143345639,13.1169457645787,,382.8100090421559,382.8100090421559
THA,Thailand,2028,Mitigation,72053805.99598391,22033.39990357912,1744.278962437501,25.666666666666664,68.94498341989765,41.35405534133244,8.971028527480172,12.6169457645787,,371.00311591628156,371.00311591628156
THA,Thailand,2029,Mitigation,72123995.41767068,22172.359678732144,1717.5306244864585,27.33333333333333,70.5312547999556,42.02072200799911,9.039828911614705,12.1169457645787,,359.51844021241357,359.51844021241357
THA,Thailand,2030,Mitigation,72194184.83935742,22311.319453885168,1690.782286535416,28.999999999999996,72.11752618001401,42.687388674665776,9.108629295749239,11.6169457645787,,348.34751547146766,348.34751547146766
PHL,Philippines,2024,Actual,115843670.0,10375.940417993756,580.1360554135003,27.99999999999999,55.4520983215477,24.46007311265386,9.08252678487007,62.490362048075376,266.5973,266.5973000000001,266.5973
PHL,Philippines,2025,Mitigation,117097666.74297166,10384.016604855133,574.4778095318518,29.166666666666657,55.92473610979789,24.630182399113835,9.081641282978666,60.490362048075376,,262.31168258191514,262.31168258191514
PHL,Philippines,2026,Mitigation,118190153.05622458,10588.453846193966,568.8195636502032,30.33333333333332,56.319406050050134,24.737324722305374,9.000225286803953,58.490362048075376,,258.99401706462186,258.99401706462186
PHL,Philippines,2027,Mitigation,119282639.36947751,10792.891087532858,563.1613177685547,31.499999999999986,56.71407599030226,24.84446704549694,8.918809290629213,56.490362048075376,,255.66996961507226,255.66996961507226
PHL,Philippines,2028,Mitigation,120375125.68273044,10997.32832887175,557.5030718869062,32.66666666666666,57.108745930554505,24.95160936868848,8.8373932944545,54.490362048075376,,252.34171753964822,252.34171753964822
PHL,Philippines,2029,Mitigation,121467611.99598384,11201.765570210584,551.8448260052577,33.83333333333332,57.50341587080675,25.05875169188002,8.755977298279788,52.490362048075376,,249.01132105126183,249.01132105126183
PHL,Philippines,2030,Mitigation,122560098.30923676,11406.202811549476,546.1865801236091,34.999999999999986,57.89808581105899,25.165894015071586,8.674561302105047,50.490362048075376,,245.68072940976865,245.68072940976865
