Country,Lever,Direction,GHG_2030,Delta_from_Base
Thailand,Renewable_%,-20%,361.9480202724018,11.07839815847126
Thailand,Renewable_%,+20%,340.1303082959821,-10.739313817948414
Thailand,Energy_Per_Capita,-20%,351.18319993727437,0.31357782334384865
Thailand,Energy_Per_Capita,+20%,350.5557078399276,-0.3139142740029115
Thailand,Forest_%,-20%,351.24244826797434,0.37282615404382113
Thailand,Forest_%,+20%,350.4971916960562,-0.37243041787434095
Philippines,Renewable_%,-20%,256.35774148479436,3.4842529495531096
Philippines,Renewable_%,+20%,249.43659135714293,-3.43689717809832
Philippines,Energy_Per_Capita,-20%,255.26522131929022,2.391732784048969
Philippines,Energy_Per_Capita,+20%,250.45431410719613,-2.4191744280451246
