Ref_Area,Country,Year,Scenario,Population,GDP_Per_Capita_PPP,Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%,Coal_Elec_%,Total_GHG,GHG_Pred,GHG_Display
THA,Thailand,2024,Actual,71668011.0,21740.540321926088,1851.272314241671,18.999999999999996,61.8689338391321,38.687388674665776,8.711126618988196,14.6169457645787,422.3873,422.38730000000015,422.3873
THA,Thailand,2025,Stress,71843237.7309237,21616.52057811999,1835.7033636022386,17.3477911646587,64.18616927972334,38.251611861527415,8.764627375076572,15.1169457645787,,424.6270184929775,424.6270184929775
THA,Thailand,2026,Stress,71913427.15261044,21755.480353273015,1831.5935785175677,16.11767068273093,65.7724406597813,37.8537561154992,8.833427759211105,15.6169457645787,,428.3333411987207,428.3333411987207
THA,Thailand,2027,Stress,71983616.57429717,21894.44012842604,1827.2180273948359,14.887550200803389,67.3587120398397,37.45590036947098,8.902228143345639,16.116945764578702,,432.03815743489037,432.03815743489037
THA,Thailand,2028,Stress,72053805.99598391,22033.39990357912,1822.5718058918048,13.657429718875619,68.94498341989765,37.05804462344276,8.971028527480172,16.616945764578702,,435.74017765064474,435.74017765064474
THA,Thailand,2029,Stress,72123995.41767068,22172.359678732144,1817.6499381559663,12.427309236947849,70.5312547999556,36.660188877414576,9.039828911614705,17.116945764578702,,439.4380546099619,439.4380546099619
THA,Thailand,2030,Stress,72194184.83935742,22311.319453885168,1812.4473758848294,11.197188755020079,72.11752618001401,36.262333131386356,9.108629295749239,17.616945764578702,,443.13038092082354,443.13038092082354
PHL,Philippines,2024,Actual,115843670.0,10375.940417993756,580.1360554135003,27.99999999999999,55.4520983215477,24.46007311265386,9.08252678487007,62.490362048075376,266.5973,266.5973000000001,266.5973
PHL,Philippines,2025,Stress,117097666.74297166,10384.016604855133,586.5154312999069,27.579919678714845,55.92473610979789,24.296849065780503,9.081641282978666,62.990362048075376,,270.9773880035767,270.9773880035767
PHL,Philippines,2026,Stress,118190153.05622458,10588.453846193966,596.992817683821,27.160642570281112,56.319406050050134,24.070658055638706,9.000225286803953,63.490362048075376,,277.2508704777208,277.2508704777208
PHL,Philippines,2027,Stress,119282639.36947751,10792.891087532858,607.6211002522836,26.74136546184738,56.71407599030226,23.84446704549694,8.918809290629213,63.990362048075376,,283.6210287689625,283.6210287689625
PHL,Philippines,2028,Stress,120375125.68273044,10997.32832887175,618.4022491903469,26.322088353413648,57.108745930554505,23.618276035355148,8.8373932944545,64.49036204807538,,290.0892351249512,290.0892351249512
PHL,Philippines,2029,Stress,121467611.99598384,11201.765570210584,629.3382589971462,25.902811244979887,57.50341587080675,23.39208502521335,8.755977298279788,64.99036204807538,,296.6568711071679,296.6568711071679
PHL,Philippines,2030,Stress,122560098.30923676,11406.202811549476,640.4311487751626,25.483534136546155,57.89808581105899,23.165894015071586,8.674561302105047,65.49036204807538,,303.3253282082145,303.3253282082145
